Learning Rate,Iterations,Balance Percentage,Accuracy
1e-05,1000,1.0,75.79670901895439
1e-05,1000,0.75,77.75463445115601
1e-05,1000,0.5,74.7344303270152
1e-05,5000,1.0,77.37971255988336
1e-05,5000,0.75,76.33826286190377
1e-05,5000,0.5,77.37971255988336
1e-05,10000,1.0,77.50468652364091
1e-05,10000,0.75,77.71297646323683
1e-05,10000,0.5,74.42199541762133
1e-06,1000,1.0,76.44240783170173
1e-06,1000,0.75,76.52572380754009
1e-06,1000,0.5,75.13018121224745
1e-06,5000,1.0,78.19204332430743
1e-06,5000,0.75,76.46323682566131
1e-06,5000,0.5,74.83857529681316
1e-06,10000,1.0,77.40054155384296
1e-06,10000,0.75,76.5048948135805
1e-06,10000,0.5,75.06769423036867
1e-07,1000,1.0,74.69277233909602
1e-07,1000,0.75,70.92272443240991
1e-07,1000,0.5,42.1787127681733
1e-07,5000,1.0,75.46344511560092
1e-07,5000,0.75,75.81753801291397
1e-07,5000,0.5,73.4638616954801
1e-07,10000,1.0,76.67152676525724
1e-07,10000,0.75,76.44240783170173
1e-07,10000,0.5,73.52634867735888
